Hajdúsági Vakvezető- és Segítőkutya Képzésért Alapítvány,hajdusagi-vakvezeto-es-segitokutya-kepzesert-alapitvany,,
Alapítvány az Értékes Tudásért,alapitvany-az-ertekes-tudasert,,
Sansz Segít a Négylábúak Szeretete Alapítvány,sansz-segit-a-negylabuak-szeretete-alapitvany,,
Jövődért Alapítvány,jovodert-alapitvany,,
HajráAnyu Hajdúszoboszlói Anyukák Egymásért Közhasznú Egyesület,hajraanyu-hajduszoboszloi-anyukak-egymasert-kozhasznu-egyesulet,,
Kabai Hétszínvirág Alapítvány,kabai-hetszinvirag-alapitvany,,
Balmazújvárosi Kistérség Alternatív Kulturális Ifjúsági Egyesület,balmazujvarosi-kisterseg-alternativ-kulturalis-ifjusagi-egyesulet,,
Autizmus a Családban Debrecen Egyesület,autizmus-a-csaladban-debrecen-egyesulet,,
Lautitia Zenei Egyesület,lautitia-zenei-egyesulet,,
Fény Felé Alapítvány,feny-fele-alapitvany,,
Remény a Leukémiás Gyermekekért Közhasznú Alapítvány,remeny-a-leukemias-gyermekekert-kozhasznu-alapitvany,,
Fatima Ház Alapítvány,fatima-haz-alapitvany,,
Egyesek Ifjúsági Egyesület,egyesek-ifjusagi-egyesulet,,
Mozgássérültek Budapesti Egyesülete,mbe,,
Háttér Társaság,hatter-tarsasag,,
Zöld Áramlat Alapítvány,zold-aramlat-alapitvany,,
GÁBRIEL SEGÍTŐ KÖZÖSSÉG EGYESÜLET,gabriel-segito-kozosseg-egyesulet,,
MORPHEUS Aneszteziológiai Alapítvány,morpheus-aneszteziologiai-alapitvany,,
Kincseink Közhasznú Alapítvány,kincseink-kozhasznu-alapitvany,,
HOMOLUDENS.HU Egyesület,homoludenshu-egyesulet,,
Alapítvány Z-ELV Hátrányos Helyzetű Tehetségekért,alapitvany-z-elv-hatranyos-helyzetu-tehetsegekert,,
Z-ELV Sportegyesület,z-elv-sportegyesulet,,
Nemzetközi Cseperedő Alapítvány,nemzetkozi-cseperedo-alapitvany,,
Csodakapu Alapítvány,csodakapu-alapitvany,,
Katasztrófavédelmi és Polgárőr Egyesület,katasztrofavedelmi-es-polgaror-egyesulet,,
Hallássérültek Kultúrájáért,hallasserultek-kulturajaert,,
Angyalföldi Szociális Egyesület,angyalfoldi-szocialis-egyesulet,,
Fogjunk Össze az Egészségügyért Alapítvány,fogjunk-ossze-az-egeszsegugyert-alapitvany,,
Miklós Téri Gyermekekért Alapítvány,miklos-teri-gyermekekert-alapitvany,,
NM Izmok Gyógyulásáért Alapítvány,nm-izmok-gyogyulasaert-alapitvany,,
Művészetek a Vidékfejlesztésért Alapítvány,muveszetek-a-videkfejlesztesert-alapitvany,,
Lázár Levente - Legyőzünk Duchenne Közhasznú Alapítvány,lazar-levente-legyozunk-duchenne-kozhasznu-alapitvany,,
Tudatos Nőkért Alapítvány,tudatos-nokert-alapitvany,,
Magyar Hospice Alapítvány,magyar-hospice-alapitvany,,
Tokaj Kincsei Egyesület,tokaj-kincsei-egyesulet,,
Legyél Ádám Reménye Alapítvány,adamremenye,,
Különleges Ellátásban Részesülők Támogatásáért Alapítvány,kulonleges-ellatasban-reszesulok-tamogatasaert-alapitvany,,
Tetovált Angyalok az Öreg Kutyákért Alapítvány,tetovalt-angyalok-az-oreg-kutyakert-alapitvany,,
Civil Érték Egyesület,civil-ertek-egyesulet,,
"""Nyújtsd a kezed!"" Alapítvány",nyujtsd-a-kezed-alapitvany,,
Dr. Bohóc Mosolyszolgálat Alapítvány,dr-bohoc-mosolyszolgalat-alapitvany,,
Meskete Gyermek Alapítvány,meskete-gyermek-alapitvany,,
HBLF-ROMASTER Alapítvány,hblf-romaster-alapitvany,,
Budapesti Vonósok Alapítványa,budapesti-vonosok-alapitvanya,,
Mosoly Alapítvány,mosoly-alapitvany,,
Gyermekmosoly Nagycsaládos Egyesület,gyermekmosoly-nagycsalados-egyesulet,,
Cinege Alapítvány a Rákóczi Telepi Tagóvoda gyermekeiért,cinege-alapitvany-a-rakoczi-telepi-tagovoda-gyermekeiert,,
Várkerti Általános Iskolásokért Alapítvány,varkerti-altalanos-iskolasokert-alapitvany,,
ALEX Állatvédő Egyesület,alex-allatvedo-egyesulet,,
Bán Aladár Általános Iskoláért Alapítvány,ban-aladar-altalanos-iskolaert-alapitvany,,
Várpalotai Felsővárosi Civil Egyesület,varpalotai-felsovarosi-civil-egyesulet,,
BIG FAMILY Kulturális és Szabadidő Egyesület,big-family-kulturalis-es-szabadido-egyesulet,,
Musical-re hangolva Egyesület,musical-re-hangolva-egyesulet,,
A Vajda János Gimnázium és Szakközépiskola Diákjaiért Alapítvány,a-vajda-janos-gimnazium-es-szakkozepiskola-diakjaiert-alapitvany,,
Vértesacsa Fejlődéséért Egyesület,vertesacsa-fejlodeseert-egyesulet,,
Csókakői Barkócaberkenye Egyesület,csokakoi-barkocaberkenye-egyesulet,,
Kutyaovi Állatvédő Egyesület,kutyaovi-allatvedo-egyesulet,,
Budaörsi Kincskereső Óvodáért Alapítvány,budaorsi-kincskereso-ovodaert-alapitvany,,
Budaörsi Tanoda Közhasznú Alapítvány,budaorsi-tanoda-kozhasznu-alapitvany,,
Csabdi,Vasztély Jövőjéért Egyesület,csabdi-vasztely-jovojeert-egyesulet,
Magyar-Japán Baráti Társaság,magyar-japan-barati-tarsasag,,
"""LURKÓ"" Győri Kórház Gyermek Osztályért Alapítvány,lurko-gyori-korhaz-gyermek-osztalyert-alapitvany",,,
Mohamanó ÉlményMűhely Alapítvány,mohamano-elmenymuhely-alapitvany,,
Közös Esély Egyesület,kozos-esely-egyesulet,,
Szarvasi Aranykor Nyugdíjas Egyesület,szarvasi-aranykor-nyugdijas-egyesulet,,
Emberöltő Alapítvány,emberolto-alapitvany,,
Szarvas Kóbor és Elveszett Kutyáiért Állatvédő Egyesület,szarvas-kobor-es-elveszett-kutyaiert-allatvedo-egyesulet,,
Szarvasi Úszó,Vízilabda és Szabadidő Sportegyesület,szarvasi-uszo-vizilabda-es-szabadido-sportegyesulet,
Szarvasi Birkózó Egyesület,szarvasi-birkozo-egyesulet,,
Kajak-Kenu Vízisport és Szabadidő Club,kajak-kenu-vizisport-es-szabadido-club,,
Víz-Hal-Ember Alapítvány,viz-hal-ember-alapitvany,,
Csimota Ház Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,csimota-haz-szolgaltato-nonprofit-korlatolt-felelossegu-tarsasag,,
Gyermekünkért,Jövőnkért Alapítvány,gyermekunkert-jovonkert-alapitvany,
Öcsödi Horgász Egyesület,ocsodi-horgasz-egyesulet,,
Szarvasi Gazdák Nemzetiségi Hagyományőrző Egyesület,szarvasi-gazdak-nemzetisegi-hagyomanyorzo-egyesulet,,
Kondorosi Kertbarát Kör,kondorosi-kertbarat-kor,,
BÓBITA Alapítvány,bobita-alapitvany,,
Cseriti Egyesület,cseriti-egyesulet,,
Magyar Rákellenes Liga,magyar-rakellenes-liga,,
Nagycsaládosok Kaposvári Egyesülete,nagycsaladosok-kaposvari-egyesulete,,
Pannonia Sacra Társaság,pannonia-sacra-tarsasag,,
Nagycsaládosok Újpalotai Egyesülete,nagycsaladosok-ujpalotai-egyesulete,,
Hiperaktív Alapítvány,hiperaktiv-alapitvany,,
KÖRÖS MOTOROS KARITATÍV EGYESÜLET,koros-motoros-karitativ-egyesulet,,
Két bors ökröcske Alapítvány,ket-bors-okrocske-alapitvany,,
Magyar Művészet- és Szocioterápiás Közösségépítő Egyesület,magyar-muveszet-es-szocioterapias-kozossegepito-egyesulet,,
Cappella Quinqueecclesiensis Egyesület,cappella-quinqueecclesiensis-egyesulet,,
Superar Zeneművészeti Alapítvány Magyarország,superar-zenemuveszeti-alapitvany-magyarorszag,,
Vadaskert Alapítvány a Gyermekek Lelki Egészségéért,vadaskert-alapitvany-a-gyermekek-lelki-egeszsegeert,,
Ifjúsági Vállalkozásélénkítő Egyesület,ifjusagi-vallalkozaselenkito-egyesulet,,
Közúti Közlekedési Emlékekért Alapítvány,kozuti-kozlekedesi-emlekekert-alapitvany,,
BAGázs Közhasznú Egyesület,bagazs-kozhasznu-egyesulet,,
Pilisszentiváni Polgárőrség és Tűzoltó Egyesület,pilisszentivani-polgarorseg-es-tuzolto-egyesulet,,
TündérPakk Közhasznú Alapítvány,tunderpakk-kozhasznu-alapitvany,,
Pro-Solymaris Hagyományőrző és Kulturális Egyesület,pro-solymaris-hagyomanyorzo-es-kulturalis-egyesulet,,
Csodatücsök Alapítvány,csodatucsok-alapitvany,,
A Leányvári Iskoláért Alapítvány,a-leanyvari-iskolaert-alapitvany,,
Mancs a Kézben Egyesület,mancs-a-kezben-egyesulet,,
Első Lépések - Mozgássérült Gyermekeket Segítő Alapítvány,elso-lepesek-mozgasserult-gyermekeket-segito-alapitvany,,
Határtalan szív Alapítvány,hatartalan-sziv-alapitvany,,
Naturella Alapítvány a Pilisszentiváni Gyermekekért,naturella-alapitvany-a-pilisszentivani-gyermekekert,,
GANZ IFJÚSÁGI MŰHELY Egyesület,ganz-ifjusagi-muhely-egyesulet,,
Második Esély Sportegyesület,masodik-esely-sportegyesulet,,
GÁT Alapítvány,gat-alapitvany,,
Leány,Anya,Gyerek Alapítvány,leany-anya-gyerek-alapitvany
Szigetbecse Községért Közalapítvány,szigetbecse-kozsegert-kozalapitvany,,
Német Vizslák Fajtamentő Egyesülete,nemet-vizslak-fajtamento-egyesulete,,
Bárka Alapítvány,barka-alapitvany,,
Arany Pillangó Alapítvány,arany-pillango-alapitvany,,
Szigetszentmiklósi Nagycsaládosok Egyesülete,szigetszentmiklosi-nagycsaladosok-egyesulete,,
10 millió Fa Alapítvány,10-millio-fa-alapitvany,,
Taksony Bölcsőde Alapítvány,taksony-bolcsode-alapitvany,,
Cocker Rocker Club Spániel Fajtamentő Egyesület,cocker,,
DÉMÉTÉR Alapítvány,demeter-alapitvany,,
Egy lépéssel több Hajós István Alapítvány,egy-lepessel-tobb-hajos-istvan-alapitvany,,
Tehetségfelfedező Műhely Alapítvány,tehetsegfelfedezo-muhely-alapitvany,,
Gyermekétkeztetési Alapítvány,gyermeketkeztetesi-alapitvany,,
Török Köztársaság Nagykövetsége,torok-koztarsasag-nagykovetsege,,
Gyöngyszemek Alapítvány,gyongyszemek-alapitvany,,
WonderFlora & CMT Alapítvány,wonderflora-cmt-alapitvany,,
Kárpátok Alapítvány-Magyarország,karpatok-alapitvany-magyarorszag,,
Akut Pécs Alapítvány,akut-pecs-alapitvany,,
Hintalovon Gyermekjogi Alapítvány,hintalovon-gyermekjogi-alapitvany,,
Harcművészet,sport az egészséges életmódért Alapítvány,harcmuveszet-sport-az-egeszseges-eletmodert-alapitvany,
Studium Generale Alapítvány,studium-generale-alapitvany,,
KórházSuli Alapítvány a Beteg Gyerekek Tanulásának Támogatásáért,korhazsuli-alapitvany-a-beteg-gyerekek-tanulasanak-tamogatasaert,,
Patrónus Ház Közhasznú Nonprofit Kft,patronus-haz-kozhasznu-nonprofit-kft,,
Autistic Art Közhasznú Alapítvány az Autista Lakóotthonokért,autistic-art-kozhasznu-alapitvany-az-autista-lakootthonokert,,
Sharity Adományszervező Alapítvány,sharity-adomanyszervezo-alapitvany,,
Bike Maffia Közhasznú Egyesület,bike-maffia-kozhasznu-egyesulet,,
Salva Vita Alapítvány,salva-vita-alapitvany,,
Tanulj Tesó Alapítvány,tanulj-teso-alapitvany,,
Völgyzugolyház Alapítvány a Kacifántosokért,volgyzugolyhaz-alapitvany-a-kacifantosokert,,
United Way Magyarország,united-way-magyarorszag,,
Art is Business Egyesület,art-is-business-egyesulet,,
Anna Hangja Alapítvány,anna-hangja-alapitvany,,
VADVIRÁG Alapítvány a sérült gyermekek integrációjának támogatására,vadvirag-alapitvany-a-serult-gyermekek-integraciojanak-tamogatasara,,
Tisza Gábor Alapítvány,tisza-gabor-alapitvany,,
Bridge Budapest Egyesület,bridge-budapest-egyesulet,,
Zenével a Rákos Gyermekekért Alapítvány,zenevel-a-rakos-gyermekekert-alapitvany,,
TÁRS A BAJBAN Személyi Sérültekért Egyesület,tars-a-bajban-szemelyi-serultekert-egyesulet,,
Még több esélyt Alapítvány,meg-tobb-eselyt-alapitvany,,
Menedzserek Országos Szövetsége (Menedzserszövetség),menedzserek-orszagos-szovetsege-menedzserszovetseg,,
Jobb Veled a Világ Alapítvány,jobb-veled-a-vilag-alapitvany,,
A Segítők Föld-védő,Közösségfejlesztő és Menedéképítő Egyesület,a-segitok-fold-vedo-kozossegfejleszto-es-menedekepito-egyesulet,
"""VONESZO"" Hátrányos Helyzetűeket Segítő Alapítvány,voneszo-hatranyos-helyzetueket-segito-alapitvany",,,
"""Együtt a Kisangyalokkal"" Mozgáskorlátozott gyermekeket támogató Alapítvány,egyutt-a-kisangyalokkal-mozgaskorlatozott-gyermekeket-tamogato-alapitvany",,,
Leukémiás Gyermekekért Alapítvány,leukemias-gyermekekert-alapitvany,,
Plüss Kommandó - Alapítvány az Alapítványokért Közhasznú Alapítvány,pluss-kommando-alapitvany-az-alapitvanyokert-kozhasznu-alapitvany,,
Galó Tamás Dominik Gyógyulásáért Alapítvány,galotomika,,
Rákász Gergely Alapítvány,rakasz-gergely-alapitvany,,
"""Együtt Ábel egészségéért"" ALAPÍTVÁNY,egyutt-abel-egeszsegeert-alapitvany",,,
Novum Kamarazenekar Egyesület,novum-kamarazenekar-egyesulet,,
Rászoruló Gyermekekért Alapítvány,raszorulo-gyermekekert-alapitvany,,
Összefogás az elveszett kis kedvenceitekért,osszefogas-az-elveszett-kis-kedvenceitekert,,
Derűs Lélekkel a Magyar Gyermekekért Alapítvány,derus-lelekkel-a-magyar-gyermekekert-alapitvany,,
A Végtaghiányos Gyermekekért Alapítvány,a-vegtaghianyos-gyermekekert-alapitvany,,
Szép Jövőért Zsombornak Alapítvány,szep-jovoert-zsombornak-alapitvany,,
Zseton Állatvédő Egyesület,zseton-allatvedo-egyesulet,,
NEM ADOM FEL Alapítvány,nem-adom-fel-alapitvany,,
Magyarországi Légimentésért Közhasznú Alapítvány,magyarorszagi-legimentesert-kozhasznu-alapitvany,,
Macskavilág Alapítvány,macskavilag-alapitvany,,
Zsótér Pál Alapítvány,zsoter-pal-alapitvany,,
Csodalámpa Óhaj-Sóhaj Kívánságteljesítő Alapítvány,csodalampa-ohaj-sohaj-kivansagteljesito-alapitvany,,
Győztesek Egyesülete,gyoztesek-egyesulete,,
Transzplantációs Alapítvány a Megújított Életekért,transzplantacios-alapitvany-a-megujitott-eletekert,,
Búzavirág Gyermekekért Egyesület,buzavirag-gyermekekert-egyesulet,,
Ösvény Esélynövelő Alapítvány,osveny-eselynovelo-alapitvany,,
Jane Goodall Intézet Természet- és Környezetvédelmi Egyesület,jane-goodall-intezet-termeszet-es-kornyezetvedelmi-egyesulet,,
Pro Infectologia Közhasznú Alapítvány,pro-infectologia-kozhasznu-alapitvany,,
Tápiószecsői Önkéntes Tűzoltó Egyesület,tapioszecsoi-onkentes-tuzolto-egyesulet,,
Adománytaxi Alapítvány,adomanytaxi-alapitvany,,
Kézenfogva Összefogás a Fogyatékosokért Alapítvány,kezenfogva-osszefogas-a-fogyatekosokert-alapitvany,,
Csermely Környezetvédelmi Egyesület,csermely-kornyezetvedelmi-egyesulet,,
Közös ügyünk az állatvédelem Alapítvány,kozos-ugyunk-az-allatvedelem-alapitvany,,
Tamási Kézilabda Club,tamasi-kezilabda-club,,
Csoda Emma Mosolyáért Alapítvány,csoda-emma-mosolyaert-alapitvany,,
Támaszpont Mentálhigiénés Oktatási és Prevenciós Közhasznú Alapítvány,tamaszpont-alapitvany,,
Mozdulj Velünk Egyesület,mozdulj-velunk-egyesulet,,
Dányi Apró Paták LSE,danyi-apro-patak,,
