KN-WATR-L*,KN,Knowledge about water conservation (L0–L5),safe,low,Pattern: L0–L5;
KN-BIOD-L*,KN,Knowledge about biodiversity (L0–L5),safe,low,Pattern: L0–L5;
KN-CIRC-L*,KN,Knowledge about circular economy (L0–L5),safe,low,Pattern: L0–L5;
ATT-CARE-L*,ATT,Attitude – caring about sustainability (L0–L5),safe,low,;
ATT-EFFI-L*,ATT,Attitude – perceived self-efficacy (L0–L5),safe,low,;
ATT-URGE-L*,ATT,Attitude – perceived urgency (L0–L5),safe,low,;
BEH-L*,BEH,Overall sustainable behavior level (L0–L5),safe,low,Pattern: L0–L5;
BEH-WAST-L*,BEH,Behavior – waste reduction (L0–L5),safe,low,Pattern: L0–L5;
BEH-ENER-L*,BEH,Behavior – energy saving (L0–L5),safe,low,Pattern: L0–L5;
BEH-TRAN-L*,BEH,Behavior – sustainable transport (L0–L5),safe,low,Pattern: L0–L5;
BEH-FOOD-L*,BEH,Behavior – sustainable food consumption (L0–L5),safe,low,Pattern: L0–L5;
BEH-SHOP-L*,BEH,Behavior – responsible shopping (L0–L5),safe,low,Pattern: L0–L5;
MOT-SAVE,MOT,Motivation – saving money,safe,low,Dominant motivation;
MOT-HEAL,MOT,Motivation – health,safe,low,;
MOT-ETHI,MOT,Motivation – ethics/doing the right thing,safe,low,;
MOT-COMM,MOT,Motivation – community/solidarity,safe,low,;
MOT-TECH,MOT,Motivation – interest in technology solutions,safe,low,;
MOT-SKEP,MOT,Motivation – sceptical/reluctant,safe,low,;
STG-SUS-S*,STG,Stage – sustainable living (S0–S4),safe,low,S0 no intention; S4 maintenance
STG-DON-S*,STG,Stage – charitable giving (S0–S4),safe,low,S0 no intention; S4 maintenance
DON-F0,DON,Donation frequency – none,safe,low,Non-donor;
DON-F1,DON,Donation frequency – once in a year,safe,low,;
DON-F2,DON,Donation frequency – a few times,safe,low,;
DON-F3,DON,Donation frequency – regular,safe,low,;
DON-MONEY,DON,Donation form – money,safe,low,Preferred donation form;
DON-TIME,DON,Donation form – volunteering time,safe,low,;
DON-ITEM,DON,Donation form – donating goods,safe,low,;
DON-SKIL,DON,Donation form – donating skills/pro bono,safe,low,;
DON-SHARE,DON,Donation form – sharing/supporting campaigns,safe,low,;
CAUSE-ENV,CAUSE,Cause preference – environment/climate,safe,low,Top priority;
CAUSE-SOC,CAUSE,Cause preference – social causes,safe,low,;
CAUSE-EDU,CAUSE,Cause preference – education,safe,low,;
CAUSE-HEAL,CAUSE,Cause preference – health,safe,low,;
CAUSE-ANIM,CAUSE,Cause preference – animal welfare,safe,low,;
CAUSE-LOCL,CAUSE,Cause preference – local community,safe,low,;
CAUSE-HUMA,CAUSE,Cause preference – humanitarian,safe,low,;
NODON-PRICE,NODON,Reason for not donating – cannot afford,internal,high,;
NODON-TRST,NODON,Reason for not donating – lack of trust,internal,high,;
NODON-KNOW,NODON,Reason for not donating – does not know where to donate,internal,high,;
NODON-TIME,NODON,Reason for not donating – lack of time,internal,high,;
NODON-NORM,NODON,Reason for not donating – not a habit / not prioritized,internal,high,;
NODON-BAD,NODON,Reason for not donating – bad past experience,internal,high,;
NODON-OTHR,NODON,Reason for not donating – other,internal,high,;
FMT-VIDS,FMT,Format preference – short videos,safe,low,;
FMT-VIDL,FMT,Format preference – long videos,safe,low,;
FMT-ARTS,FMT,Format preference – short articles,safe,low,;
FMT-ARTL,FMT,Format preference – long articles,safe,low,;
FMT-MISS,FMT,Format preference – interactive missions,safe,low,;
FMT-NONE,FMT,Format preference – no content (just rewards),internal,low,Skip content;
ADLOAD-A0,ADLOAD,Advertising tolerance unknown,internal,low,;
ADLOAD-A1,ADLOAD,Minimal ad tolerance,safe,low,Low tolerance for ads;
ADLOAD-A2,ADLOAD,Moderate ad tolerance,safe,low,;
ADLOAD-A3,ADLOAD,High ad tolerance (only relevant ads),safe,low,;
SHOP-PRICE,SHOP,Shopping style – price sensitive,safe,low,;
SHOP-VALUE,SHOP,Shopping style – value oriented,safe,low,;
SHOP-PREM,SHOP,Shopping style – premium open,safe,low,;
SHOP-USED,SHOP,Shopping style – prefers second hand,safe,low,;
SHOP-LOCAL,SHOP,Shopping style – supports local businesses,safe,low,;
SHOP-ONLINE,SHOP,Shopping style – prefers online,safe,low,;
AV-T0,AVAIL-TIME,Availability time unknown,internal,low,;
AV-T1,AVAIL-TIME,Less than 1 hour per week,internal,low,;
AV-T2,AVAIL-TIME,1–3 hours per week,internal,low,;
AV-T3,AVAIL-TIME,3–6 hours per week,internal,low,;
AV-T4,AVAIL-TIME,More than 6 hours per week,internal,low,;
AV-M0,AVAIL-MOB,Mobility – online only,internal,low,;
AV-M1,AVAIL-MOB,Mobility – within 0–5 km,internal,low,;
AV-M2,AVAIL-MOB,Mobility – within 5–20 km,internal,low,;
AV-M3,AVAIL-MOB,Mobility – 20+ km,internal,low,;
CONS-PERS-0,CONSENT,No internal personalization consent,internal,high,Opt-out;
CONS-PERS-1,CONSENT,Consents to internal personalization,internal,high,Opt-in;
CONS-ADS-0,CONSENT,No partner advertising personalization consent,internal,high,Opt-out;
CONS-ADS-1,CONSENT,Consents to partner advertising personalization,internal,high,Opt-in;
PRIV-P1,PRIVACY,Privacy level – basic (contextual only),internal,high,Safe default;
PRIV-P2,PRIVACY,Privacy level – internal personalization allowed,internal,high,Opt-in;
PRIV-P3,PRIVACY,Privacy level – partner personalization allowed,internal,high,Opt-in with partner;
