name,tax_number,email,address,legal_status,public_benefit_status
Magyarország Felfedezői Szövetség,19624772-1-05,magyarorszag.felfedezoi@gmail.com,"3950 Sárospatak, Mátyás k. utca 23.",Közhasznú,igen
"Rudolftelep Általános Iskola és Óvoda ""Napfény"" Oktatási-Nevelési Alapítvány",18419135-1-05,smikoviny@freemail.hu,"3742 Rudolftelep, József A. út 43.",Közhasznú,igen
Dr. Földvári Gyula Alapítvány Borsod-A-Z Megye Szívbetegeiért,18426564-1-05,stefan.ibelgy@bazmkorhaz.hu,"3526 Miskolc, Szentpéteri kapu 72-76.",Közhasznú,igen
Miskolci Jogászképzésért Alapítvány,18418608-1-05,civhilda@uni-miskolc.hu,"3515 Miskolc-Egyetemváros, Áll.és Jogt.Kar Dékáni Hiv.A/4",Közhasznú,igen
Miskolci Kórusfesztivál Alapítvány,19077369-1-05,zensandz@uni-miskolc.hu,"3519 Miskolc, Ungvári u.18.",Közhasznú,igen
Alapítvány a Weöres Sándor Általános Iskola Diákjaiért,18415856-1-05,arnotiskola@borsodweb.hu,"3712 Arnót, Alkotmány u.1.",Közhasznú,igen
Humán Integra Társadalmi Beilleszkedést Segítő Regionális Alapítvány,18440023-1-05,info@humanintegra.hu,"3525 Miskolc, Széchenyi utca 19. 1 7.",Közhasznú,igen
Miskolci Nagycsaládosok Egyesülete,18400230-1-05,noemiskolc@gmail.com,"3525 Miskolc, Pallos utca 16",Közhasznú,igen
Páli Szent Vince Társaság Magyarországi Nemzeti Tanácsa,18410985-1-05,palisztvince@freemail.hu,"3534 Miskolc, Árpád u. 2.",Közhasznú,igen
Miskolci Egyetem Oktatásának Fejlesztéséért Alapítvány,18422096-1-05,alapitva@uni-miskolc.hu,"3515 Miskolc-Egyetemváros, Miskolci Egyetem",Közhasznú,igen
"""Vérünk Egészségéért"" Alapítvány",19077857-2-05,gradvany.2bel@semmelweis-miskolc.hu,"3530 Miskolc, Csabai kapu 9.",Közhasznú,igen
A Miskolci Állatkertészeti Kultúráért Alapítvány,18436556-1-05,zoomiskolc@parisat.hu,"3525 Miskolc, Attila u. 7.",Közhasznú,igen
Ökológiai Intézet a Fenntartható Fejlődésért Alapítvány,18410057-1-05,fnzs@ecolinst.hu,"3525 Miskolc, Kossuth u. 13.",Közhasznú,igen
Miskolci Egyetem Gépészmérnöki Karán folyó mérnökképzésért,18425453-1-05,gkdh3@gold.uni-miskolc.hu,"3515 Miskolc-Egyetemváros, I.emelet a/4. ép.131.szoba",Közhasznú,igen
Mozgáskorlátozottak Ózd Városi Egyesülete,19649294-1-05,move.ozd@freemail.hu,"3600 Ózd, Árpád vezér út 29",Közhasznú,igen
Mozgássérültek Mezőkövesdi Egyesülete,18417803-1-05,buktal@freemail.hu,"3400 Mezőkövesd, Abkarovits Jenő tér 1.",Közhasznú,igen
Miskolci Speciális Felderítő és Mentőcsoport Közalapítvány,18431276-1-05,mancsi112@gmail.com,"3525 Miskolc, Városház tér 8.",Közhasznú,igen
Litkey György Alapítvány,19262132-2-19,litkeyeva@gmail.com,"8220 Balatonalmádi, Veszprémi út 111.",Közhasznú,igen
Forrásvíz Kultrális Alapítvány,18423396-1-05,forrasvizalapitvany@gmail.com,"3533 Miskolc, Fürdő u.15.",Közhasznú,igen
FILADELFIA Alapítvány,18792021-1-15,gy-m@freemail.hu,"4461 Nyírtelek, Tokaji utca 52.",Közhasznú,igen
Esélyegyenlőséget a falusi kisdiáknak Alapítvány,18416840-1-05,info@falusikisdiak.hu,"3731 Szuhakálló, Bajcsy Zs. út 47.",Közhasznú,igen
Symphonia Alapítvány,18288449-2-43,kozkapcsolat@samisuli.hu,"3525 Miskolc, Kazinczy utca 1. 1 1.",Közhasznú,igen
Mezőcsát Kultúrájáért Alapítvány,18435713-1-05,info@csatikultura.hu,"3450 Mezőcsát, Mátyás utca 20.",Közhasznú,igen
Kerékpáros Miskolc Egyesület,18274219-1-05,elnok@kerekparosmiskolc.net,"3526 Miskolc, Kassai utca 24.",Közhasznú,igen
Miskolci Makogó-Együtt a Vadászgörényekért Közhasznú Egyesület,18027969-1-05,egyesulet@miskolcimakogo.hu,"3529 Miskolc, Szilvás út 11. 3/ 2.",Közhasznú,igen
Miskolci Amerikai Futball és Szabadidő Sport Egyesület,18449668-2-05,info@miskolcsteelers.hu,"3535 Miskolc, Szépvölgy utca 4.",Közhasznú,igen
Zöld Kapcsolat Egyesület,18448461-1-05,info@zoldkapcsolat.hu,"3525 Miskolc, Kossuth utca 13. I",Közhasznú,igen
Hegyhengergető Alapítvány,18715424-2-13,alapitvany@hegyhengergeto.hu,"2161 Csomád, Kossuth Lajos út 79.",Közhasznú,igen
Erdélyi Kopóért Közhasznú Alapítvány,18980354-1-05,pelczedertibor@yahoo.com,"3554 Bükkaranyos, Ady Endre utca 4.",Közhasznú,igen
Szikra Alapítvány Az Önkéntesek Munkájának Támogatására,18444917-1-05,civilhaz@szikraalapitvany.hu,"3530 Miskolc, Reményi Ede utca 9.",Közhasznú,igen
Észak-magyarországi Kompetencia Egyesület,18449390-1-05,soosroland@yahoo.com,"3529 Miskolc, Középszer utca 54. 8 1.",Közhasznú,igen
Gönczy Pál Utcai Alapítvány,18558120-1-09,goanczyovi@ngo.hu,"4225 Debrecen-Józsa, Gönczy P. u. 1-3.",Közhasznú,igen
A sátoraljaújhelyi Szlovák Tanítási Nyelvű Általános Iskola Gyermekeiért Alapítvány,18425312-1-05,szlovaki@ngo.hu,"3980 Sátoraljaújhely, Balassi u. 4.",Közhasznú,igen
Szimbiózis a Harmónikus Együtt-létért Alapítvány,18432930-1-05,ugyvezeto@szimbiozis.net,"3527 Miskolc, Augusztus 20 út 12",Közhasznú,igen
Új Hazába Vezető Csodaszarvas Alapítvány,18567001-1-05,csodaszarvas@hungaroweb.com,"3800 Szikszó, Rákóczi út 33.",Közhasznú,igen
Marcel Loubens Barlangkutató Egyesület,19070575-1-05,mlbe@mlbe.hu,"3525 Miskolc, Kossuth Lajos utca 13.",Közhasznú,igen
Kovács Csongor Alapítvány a Gyengénlátó Gyermekekért,18012752-1-42,igazgatosag@gyengenlatok.hu,"1147 Budapest, Miskolci út 77.",Közhasznú,igen
"A ""Mezőcsáti Református Templomért"" Alapítvány",18416541-1-05,alapitvany@fenysugar.com,"3450 Mezőcsát, Hősök tere 8.",Közhasznú,igen
