name,tax_number,email,address,legal_status,public_benefit_status,cegjelzo_status,cegjelzo_status_code,cegjelzo_registration_number,cegjelzo_official_name,cegjelzo_short_name,cegjelzo_tax_number
Civil Közösségi Házak Magyarországi Egyesülete,18390272-1-11,civil.kozossegek@gmail.com,"2903 Komárom, Csendes utca 8.",Közhasznú,igen,Nyilvántartásba vett,1,04-02-0002462,Civil Közösségi Házak Magyarországi Egyesülete,,18390272-1-11
Lélektér Alapítvány,18015896-1-19,lelekter@gmail.com,"8200 Veszprém, Bajcsy-Zsilinszky út 9.",Közhasznú,igen,Nyilvántartásba vett,1,19-01-0001559,Lélektér Alapítvány,,18015896-1-19
Határtalan szív Alapítvány,18611753-1-11,hatartalanszivalapitvany@gmail.com,"2500 Esztergom, Lázár V. út 84.",Közhasznú,igen,Nyilvántartásba vett,1,11-01-0000807,Határtalan szív Alapítvány,,18611753-1-11
A Háztartások Foglalkoztatásáért Alapítvány,18641121-1-12,haztartasok@ahfa.hu,"3100 Salgótarján, Bajcsy-Zsilinszky út 16-18.",Közhasznú,igen,Nyilvántartásba vett,1,12-01-0000595,"A ""Háztartások Foglalkoztatásáért"" Alapítvány",AHFA,18641121-1-12
Tatabányai Otthon Segítünk Alapítvány,18614079-1-11,otthonsegitunk.tb@gmail.com,"2800 Tatabánya, Ifjúság u. 26. fsz., telephelye: 2890 Tata, Váralja út 6.",Közhasznú,igen,Nyilvántartásba vett,1,11-01-0000886,Tatabányai Otthon Segítünk Alapítvány,,18614079-1-11
Erdélyi Magyarok Törökbálinti Egyesülete,18707984-1-13,emte2004@gmail.com,"2045 Törökbálint, Bajcsy Zs. u 78/b.",Közhasznú,igen,Nyilvántartásba vett,1,13-02-0004178,Erdélyi Magyarok Törökbálinti Egyesülete,,18707984-1-13
Erődváros Íjász Sportegyesület,18617364-1-11,szabolcs.nemeth@gmail.com,"2900 Komárom, Igmándi Erőd",Közhasznú,igen,Nyilvántartásba vett,1,11-02-0001706,Erődváros Íjász Sportegyesület,EVÍ SE,18617364-1-11
Bogáncs Kutya- és Kisállatotthon Alapítvány,18614385-1-11,kisspe@bogancsotthon.hu,"2500 Esztergom, Csapási dűlő 0362/1. hrszp.",Közhasznú,igen,Nyilvántartásba vett,1,11-01-0000892,Bogáncs Kutya- és Kisállatotthon Alapítvány,,18614385-1-11
"""Mondjunk mancsot!"" Terápiás- és Segítőkutyás Közhasznú Egyesület",18592807-1-10,mondjunkmancsot@gmail.com,"3300 Eger, Bajcs-Zsilinszky u. 9.",Közhasznú,igen,Nyilvántartásba vett,1,10-02-0002231,"""Mondjunk mancsot!"" Terápiás és Segítőkutyás Közhasznú Egyesület",,18592807-1-05
Száz Völgy Természetvédelmi Egyesület,18617601-1-11,szazvolgy@gmail.com,"2836 Baj, Dózsa György utca 8.",Közhasznú,igen,Nyilvántartásba vett,1,11-02-0001698,Száz Völgy Természetvédelmi Egyesület,SZVTE,18617601-1-11
Térségi Integrált Művészeti Egyesület,18015889-1-11,filmhatas@gmail.com,"2840 Oroszlány, Rosenberg u. 2. 2/12.",Közhasznú,igen,Nyilvántartásba vett,1,11-02-0001764,Térségi Integrált Művészeti Egyesület,TIME,18015889-1-41
Veres Pál Polgári Egyesület,18213355-1-03,vpalegyesulet@gmail.com,"6500 Baja, Kodály Zoltán utca 30. 1. 101/a.",Közhasznú,igen,Nyilvántartásba vett,1,12-02-0001785,Veres Pál Polgári Egyesület,,18213355-1-03
Gyermekliget Alapítvány,18615568-1-11,gyermekliget.alapitvany@gmail.com,"2821 Gyermely, Viola u. 5.",Közhasznú,igen,Nyilvántartásba vett,1,11-01-0000920,Gyermekliget Alapítvány,,18615568-1-11
Monostori Óvodáért Alapítvány,18609329-1-11,napsugar@novonet.hu,"2903 Komárom, Koppány vezér út 81.",Közhasznú,igen,Nyilvántartásba vett,1,11-01-0000830,Monostori Óvodáért Alapítvány,,18609329-1-11
Szent László Határrendész Közhasznú Egyesület,18365713-1-03,bacsalmashse@gmail.com,"6430 Bácsalmás, Damjanich u. 89. fszt. 1.",Közhasznú,igen,Nyilvántartásba vett,1,03-02-0002397,Szent László Határrendész Közhasznú Egyesület,SzLHKE,18365713-1-03
Csodák Csodája Alapítvány,18136555-1-41,csodakcsodaja@gmail.com,"1139 Budapest, Kartács utca 17/ B.",Közhasznú,igen,Nyilvántartásba vett,1,01-01-0009742,Csodák Csodája Alapítvány,,18136555-1-41
"""Fokról-Fokra"" a Fogyatékos gyermekek Neveléséért és Oktatásáért Alapítvány",18609013-1-11,fokrol-fokra@freemail.hu,"2500 Esztergom, Dobogókői u. 29.",Közhasznú,igen,Nyilvántartásba vett,1,11-01-0000722,Fokról-Fokra a Fogyatékos Gyermekek Neveléséért és Oktatásáért Alapítvány,"""FOKRÓL-FOKRA""Alapítvány",18609013-1-11
Kb35 Inárcsi Színjátszó Közhasznú Egyesület,18720301-1-13,baloghferencpeter@gmail.com,"2365 Inárcs, Bajcsy Zs. út 94.",Közhasznú,igen,Nyilvántartásba vett,1,13-02-0005067,Kb35 Inárcsi Színjátszó Közhasznú Egyesület,,18720301-1-13
Mezőkovácsházi Torna Egylet,19976426-1-04,sza.lajos@freemail.hu,"5800 Mezőkovácsháza, Alkotmány utca 60.",Közhasznú,igen,Nyilvántartásba vett,1,04-02-0000236,Mezőkovácsházi Torna Egylet,,19976426-1-04
Nyírségi Segítő Kéz Alapítvány,18806760-1-15,telehazkh@gmail.com,"4434 Kálmánháza, Dorogi út 76.",Közhasznú,igen,Nyilvántartásba vett,1,15-01-0000933,"""Nyírségi Segítő Kéz"" Alapítvány",,18806760-1-15
Baptista Szeretetszolgálat Alapítvány,18485529-1-42,kommunikacio@baptistasegely.hu,"1065 Budapest, Bajcsy-Zsilinszky út 57. I. emelet.",Közhasznú,igen,Nyilvántartásba vett,1,07-01-0000420,Baptista Szeretetszolgálat Alapítvány,,18485529-1-42
Megmaradni Alapítvány Kárpátalja Ifjúságáért,18547333-1-09,megmaradni@gmail.com,"4029 Debrecen, Karácsony György utca 11. 6. 40.",Közhasznú,igen,Nyilvántartásba vett,1,09-01-0000829,Megmaradni Alapítvány Kárpátalja Ifjúságáért,,18547333-1-09
Magyar Írószövetség,19666244-2-42,titkarsag@iroszovetseg.hu,"1062 Budapest, Bajza 18.",Közhasznú,igen,Nyilvántartásba vett,1,01-02-0001559,Magyar Írószövetség,,19666244-2-42
Aikido Shinbukan Dojo Harcművészeti Sportegyesület,18691353-1-11,aikidojo@me.com,"2500 Esztergom, Szent János-kúti u. 36.",Közhasznú,igen,Nyilvántartásba vett,1,13-02-0002987,Aikido Shinbukan Dojo Harcművészeti Sportegyesület,,18691353-1-11
Magyar Cserkészkürt Alapítvány,18120804-1-41,csoricserkesz@freemail.hu,"1051 Budapest, Bajcsy Zs. út 24.sz. III/7/a.",Közhasznú,igen,Nyilvántartásba vett,1,01-01-0008567,Magyar Cserkészkürt Alapítvány,,18120804-1-13
Monori Evangélikus Kultúráért Alapítvány,18691951-1-13,monor@lutheran.hu,"2200 Monor, Bajza utca 2.sz.",Közhasznú,igen,Nyilvántartásba vett,1,13-01-0002060,Monori Evangélikus Kultúráért Alapítvány,,18691951-1-13
"Víz, Zene, Virág Fesztivál Egyesület",18609824-2-11,level@tataifesztival.hu,"2890 Tata, Váralja u. 4.",Közhasznú,igen,Nyilvántartásba vett,1,11-02-0001197,"Víz, Zene, Virág Fesztivál Egyesület",,18609824-2-11
Válaszúton Hagyományőrző és Környezetvédő Alapítvány,18615551-1-11,valaszuton@valaszuton.hu,"2500 Esztergom, Akácos u. 2.",Közhasznú,igen,Nyilvántartásba vett,1,11-01-0000922,Válaszúton Hagyományőrző és Környezetvédő Alapítvány,Válaszúton Alapítvány,18615551-1-11
"""Szivárvány"" Művészeti Alapítvány",18359024-1-03,vimix@freemail.hu,"6500 Baja, Nyírfa u. 1.",Közhasznú,igen,Nyilvántartásba vett,1,03-01-0001182,Szivárvány Művészeti Alapítvány,,18359024-1-03
BICE-BÓCA Hátrányos helyzetűek és Nagycsaládosok Egyesülete,19018249-1-07,foltoskecske@gmail.com,"8060 Mór, Bajcsy-Zs. utca 1. a.",Közhasznú,igen,Nyilvántartásba vett,1,01-02-0002055,BICE-BÓCA Hátrányos helyzetűek és Nagycsaládosok Egyesülete,BICE-BÓCA Egyesülete,19018249-1-07
Tárkány Község Általános Iskolájáért Közalapítvány,18609587-1-11,tarkanyiskola@holop.hu,"2945 Tárkány, Fő u. 98.",Közhasznú,igen,Nyilvántartásba vett,1,11-01-0000685,Tárkány Község Általános Iskolájáért Közalapítvány,,18609587-1-11
KUT Alapítvány,18051551-1-41,katalin.bardos@gmail.com,"1136 Budapest, Tátra utca 21 I. 2.",Közhasznú,igen,Nyilvántartásba vett,1,01-01-0004155,KUT Alapítvány,,18051551-1-41
Kutató Diákokért Alapítvány,18235331-1-42,kutdiak@kutdiak.hu,"1065 Budapest, Bajcsy-Zsilinszky út 33. 3 1.",Közhasznú,igen,Nyilvántartásba vett,1,01-01-0007274,Kutató Diákokért Alapítvány,,18235331-1-42
Bárdos Lajos Vegyeskórusért Alapítvány,18612156-1-11,orovap@freemail.hu,"2800 Tatabánya, Vadvirág u. 85.",Közhasznú,igen,Nyilvántartásba vett,1,11-01-0000828,Bárdos Lajos Vegyeskórusért Alapítvány,,18612156-1-11
Lurkó Gyermekvédelmi Egyesület,18490822-1-07,lurko@lurkoegyesulet.hu,"8000 Székesfehérvár, Tátra u. 61.",Közhasznú,igen,Nyilvántartásba vett,1,07-02-0001512,Lurkó Gyermekvédelmi Egyesület,,18490822-1-07
"""Vigyázó kéz"" Gyermekvédelmi Egyesület",18489822-1-07,moha10@datatrans.hu,"8000 Székesfehérvár, Tátra u. 61.",Közhasznú,igen,Nyilvántartásba vett,1,07-02-0001523,Vigyázó Kéz Gyermekvédelmi Egyesület,,18489822-1-07
"""FOGD A KEZEM ALAPÍTVÁNY""",19031893-1-02,info@fogdakezemalapitvany.hu,"7634 Pécs, Kovács B. utca 10.",Közhasznú,igen,Nyilvántartásba vett,1,02-01-0000142,"""FOGD A KEZEM ALAPÍTVÁNY""",,19031893-1-02
Kiskunfélegyházi Mazsorett Egyesület,18353097-1-03,ktjutka@freemail.hu,"6100 Kiskunfélegyháza, Bajza 54.",Közhasznú,igen,Nyilvántartásba vett,1,03-02-0001530,Kiskunfélegyházi Mazsorett Egyesület,,18353097-1-03
Élettér Közösség- és Településfejlesztő Egyesület,18607190-2-11,eletter@novonet.hu,"2903 Komárom, Csendes u. 8.",Közhasznú,igen,Nyilvántartásba vett,1,11-02-0001067,Élettér Közösség- és Településfejlesztő Egyesület,,18607190-1-11
Zöld Sziget Kör Természetvizsgáló Közhasznú Egyesület,19150550-1-11,zoldszigetkor@gmail.com,"2835 Agostyán, Kossuth u. 68/A.",Közhasznú,igen,Nyilvántartásba vett,1,11-02-0000591,Zöld Sziget Kör Természetvizsgáló Közhasznú Egyesület,,19150550-1-11
"""Victory"" SM Alapítvány",18077500-1-43,victorysm@gmail.com,"1202 Budapest, Bajza köz 4.",Közhasznú,igen,Nyilvántartásba vett,1,01-01-0005678,VICTORY SM Alapítvány,,18077500-1-43
Mérföldkő Egyesület,18316551-1-02,merfoldkoszenaja@gmail.com,"7678 Kovácsszénája, Fő utca 24.",Közhasznú,igen,Nyilvántartásba vett,1,02-02-0001776,Mérföldkő Egyesület,,18316551-1-02
Magyar Diáksport Szövetség,19019927-2-42,mdszok@mdsz.hu,"1063 Budapest, Munkácsy Mihály utca 17.",Közhasznú,igen,Nyilvántartásba vett,1,01-02-0000055,Magyar Diáksport Szövetség,,19019927-2-42
Esélyegyenlőséget a falusi kisdiáknak Alapítvány,18416840-1-05,info@falusikisdiak.hu,"3731 Szuhakálló, Bajcsy Zs. út 47.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0000803,Esélyegyenlőséget a falusi kisdiáknak Alapítvány,,18416840-1-05
Cserkészek az Ifjúságért Alapítvány,18342107-1-03,wernerjozsef@freemail.hu,"6500 Baja, Háromnyúl u. 14.",Közhasznú,igen,Nyilvántartásba vett,1,03-01-0000377,Cserkészek az Ifjúságért Alapítvány,,18342107-1-03
Bababirtok Egyesület,19551755-1-03,timi@bababirtok.hu,"6500 Baja, Darázs utca 18.",Közhasznú,igen,Nyilvántartásba vett,1,03-02-0002944,Bababirtok Egyesület,,19551755-1-03
Fehér Bot Alapítvány,18549816-1-09,titkarsag@feherbot.hu,"4087 Hajdúdorog, Fogadó u. 3-5.",Közhasznú,igen,Nyilvántartásba vett,1,09-01-0000967,Fehér Bot Alapítvány,,18549816-1-09
Szélrózsa Hagyományőrző Egyesület,18990016-1-09,info@szelrozsaegyesulet.hu,"4177 Földes, Karácsony Sándor tér 6.",Közhasznú,igen,Nyilvántartásba vett,1,09-02-0002969,Szélrózsa Hagyományőrző Egyesület,,18990016-1-09
Együtt az Életért Egyesület,18131512-1-11,kapcsolat@egyuttazeletert.hu,"2890 Tata, Arany János utca 20.",Közhasznú,igen,Nyilvántartásba vett,1,01-02-0013030,Együtt az Életért Egyesület,Együtt az Életért Egyesület,18131512-1-43
Magyarock Dalszínház Színházi Egyesület,18614189-2-11,magyarock@vivamail.hu,"2900 Komárom, Mártírok út 8/A. 3/1.",Közhasznú,igen,Nyilvántartásba vett,1,11-02-0001469,Magyarock Dalszínház Színházi Egyesület,,18614189-2-11
Tűzvédelemért Közalapítvány,18610068-1-11,komhot@vivamail.hu,"2900 Komárom, Szabadság tér 1.",Közhasznú,igen,Nyilvántartásba vett,1,11-01-0000754,Tűzvédelemért Közalapítvány Komárom,,18610068-1-11
VOLÁN Szolidaritás Alapítvány,19149653-1-11,vsza@vertesvolan.hu,"2800 Tatabánya I., Csaba u. 19.",Közhasznú,igen,Nyilvántartásba vett,1,11-01-0000246,VOLÁN Szolidaritás Alapítvány,,19149653-1-11
Oroszlányi Utánpótlás Futball Club,18611007-1-11,oufc@okis.hu,"2840 Oroszlány, Majki út 32.",Közhasznú,igen,Nyilvántartásba vett,1,11-02-0001261,Oroszlányi Utánpótlás Futball Club,OTT UFC,18611007-1-11
Nővér Alapítvány,18343885-1-03,csozik@bajakorhaz.hu,"6500 Baja, Rókus u. 10.",Közhasznú,igen,Nyilvántartásba vett,1,03-01-0000550,Nővér Alapítvány,,18343885-1-03
Tatai Eötvös József Tehetséggondozó Alapítvány,19148164-1-11,adam.arpad@mutf.hu,"2890 Tata, Tanoda tér 5.",Közhasznú,igen,Nyilvántartásba vett,1,11-01-0000158,Tatai Eötvös József Tehetséggondozó Alapítvány,,19148164-1-11
Életfa Környezetvédő Szövetség,19142443-1-10,eletfa@eck.hu,"3300 Eger, Bajcsy Zs. u. 9.",Közhasznú,igen,Nyilvántartásba vett,1,10-02-0000362,Életfa Környezetvédő Szövetség,,19142443-1-10
Vitakultúra Egyesület,18159202-1-42,vitakultura@vitakultura.hu,"1063 Budapest, Munkácsy Mihály utca 27. I. 4.",Közhasznú,igen,Nyilvántartásba vett,1,01-02-0007786,Vitakultúra Egyesület,,18159202-1-42
