name,tax_number,email,address,legal_status,public_benefit_status
Megmaradni Alapítvány Kárpátalja Ifjúságáért,18547333-1-09,megmaradni@gmail.com,"4029 Debrecen, Karácsony György utca 11. 6. 40.",Közhasznú,igen
Magyar Írószövetség,19666244-2-42,titkarsag@iroszovetseg.hu,"1062 Budapest, Bajza 18.",Közhasznú,igen
Aikido Shinbukan Dojo Harcművészeti Sportegyesület,18691353-1-11,aikidojo@me.com,"2500 Esztergom, Szent János-kúti u. 36.",Közhasznú,igen
Magyar Cserkészkürt Alapítvány,18120804-1-41,csoricserkesz@freemail.hu,"1051 Budapest, Bajcsy Zs. út 24.sz. III/7/a.",Közhasznú,igen
Monori Evangélikus Kultúráért Alapítvány,18691951-1-13,monor@lutheran.hu,"2200 Monor, Bajza utca 2.sz.",Közhasznú,igen
"Víz, Zene, Virág Fesztivál Egyesület",18609824-2-11,level@tataifesztival.hu,"2890 Tata, Váralja u. 4.",Közhasznú,igen
Háztűz-őrző Nők és Anyák Egyesülete,18615496-1-11,palotaiildiko@gmail.com,"2836 Baj, Sport u. 26.",Közhasznú,igen
"""A BULI'91"" Közhasznú Alapítvány",18932832-1-19,enczica@zirc.hu,"8420 Zirc, Bajcsy Zs. út 9.",Közhasznú,igen
Válaszúton Hagyományőrző és Környezetvédő Alapítvány,18615551-1-11,valaszuton@valaszuton.hu,"2500 Esztergom, Akácos u. 2.",Közhasznú,igen
"""Szivárvány"" Művészeti Alapítvány",18359024-1-03,vimix@freemail.hu,"6500 Baja, Nyírfa u. 1.",Közhasznú,igen
BICE-BÓCA Hátrányos helyzetűek és Nagycsaládosok Egyesülete,19018249-1-07,foltoskecske@gmail.com,"8060 Mór, Bajcsy-Zs. utca 1. a.",Közhasznú,igen
Tárkány Község Általános Iskolájáért Közalapítvány,18609587-1-11,tarkanyiskola@holop.hu,"2945 Tárkány, Fő u. 98.",Közhasznú,igen
KUT Alapítvány,18051551-1-41,katalin.bardos@gmail.com,"1136 Budapest, Tátra utca 21 I. 2.",Közhasznú,igen
Kutató Diákokért Alapítvány,18235331-1-42,kutdiak@kutdiak.hu,"1065 Budapest, Bajcsy-Zsilinszky út 33. 3 1.",Közhasznú,igen
Mocsaiak Mocsáért Egyesület,18613494-1-11,rimari@freemail.hu,"2911 Mocsa, Kocsi u. 37.",Közhasznú,igen
Bárdos Lajos Vegyeskórusért Alapítvány,18612156-1-11,orovap@freemail.hu,"2800 Tatabánya, Vadvirág u. 85.",Közhasznú,igen
Lurkó Gyermekvédelmi Egyesület,18490822-1-07,lurko@lurkoegyesulet.hu,"8000 Székesfehérvár, Tátra u. 61.",Közhasznú,igen
"""Vigyázó kéz"" Gyermekvédelmi Egyesület",18489822-1-07,moha10@datatrans.hu,"8000 Székesfehérvár, Tátra u. 61.",Közhasznú,igen
"""FOGD A KEZEM ALAPÍTVÁNY""",19031893-1-02,info@fogdakezemalapitvany.hu,"7634 Pécs, Kovács B. utca 10.",Közhasznú,igen
Táti Helytörténeti Értékmentő Közhasznú Alapítvány,19150268-1-11,polghivatal@tat.hu,"2534 Tát, Kossuth L.u.15.",Közhasznú,igen
MECMAN EGER INNEBANDY SE,18573037-1-10,oscarovic@freemail.hu,"3300 Eger, Bajcsy-Zsilinszky utca 9.",Közhasznú,igen
Kiskunfélegyházi Mazsorett Egyesület,18353097-1-03,ktjutka@freemail.hu,"6100 Kiskunfélegyháza, Bajza 54.",Közhasznú,igen
Élettér Közösség- és Településfejlesztő Egyesület,18607190-2-11,eletter@novonet.hu,"2903 Komárom, Csendes u. 8.",Közhasznú,igen
Zöld Sziget Kör Természetvizsgáló Közhasznú Egyesület,19150550-1-11,zoldszigetkor@gmail.com,"2835 Agostyán, Kossuth u. 68/A.",Közhasznú,igen
Zéta Kulturális Egyesület Adács,19142474-1-10,info@zeta-adacs.hu,"3292 Adács, Rákóczi u. 18.",Közhasznú,igen
"""Victory"" SM Alapítvány",18077500-1-43,victorysm@gmail.com,"1202 Budapest, Bajza köz 4.",Közhasznú,igen
Márka-Dera Alkoholmentes Önsegítő Egyesület,18665893-1-13,markadera.egyesulet@gmail.com,"2013 Pomáz-Kiskovácsi, .",Közhasznú,igen
Mérföldkő Egyesület,18316551-1-02,merfoldkoszenaja@gmail.com,"7678 Kovácsszénája, Fő utca 24.",Közhasznú,igen
Magyar Diáksport Szövetség,19019927-2-42,mdszok@mdsz.hu,"1063 Budapest, Munkácsy Mihály utca 17.",Közhasznú,igen
Jókai Mór Gimnázium Kincs-Tár a Tehetségért Alapítvány,18604850-1-11,suli@jmgk.hu,"2900 Komárom, Táncsics u. 32.",Közhasznú,igen
Esélyegyenlőséget a falusi kisdiáknak Alapítvány,18416840-1-05,info@falusikisdiak.hu,"3731 Szuhakálló, Bajcsy Zs. út 47.",Közhasznú,igen
Cserkészek az Ifjúságért Alapítvány,18342107-1-03,wernerjozsef@freemail.hu,"6500 Baja, Háromnyúl u. 14.",Közhasznú,igen
Orosházi Állatmentő Közhasznú Alapítvány,18395325-1-04,info@allatmentok-oroshaza.hu,"5900 Orosháza, Bajcsy Zs. utca 25.",Közhasznú,igen
Gyöngyhalászat Tehetséggondozó Alapítvány,18209888-1-11,gyongyhalaszat@gyongyhalaszat.hu,"2800 Tatabánya, Bánhidai ltp. 408.",Közhasznú,igen
Bababirtok Egyesület,19551755-1-03,timi@bababirtok.hu,"6500 Baja, Darázs utca 18.",Közhasznú,igen
Fehér Bot Alapítvány,18549816-1-09,titkarsag@feherbot.hu,"4087 Hajdúdorog, Fogadó u. 3-5.",Közhasznú,igen
Szélrózsa Hagyományőrző Egyesület,18990016-1-09,info@szelrozsaegyesulet.hu,"4177 Földes, Karácsony Sándor tér 6.",Közhasznú,igen
Együtt az Életért Egyesület,18131512-1-11,kapcsolat@egyuttazeletert.hu,"2890 Tata, Arany János utca 20.",Közhasznú,igen
Magyarock Dalszínház Színházi Egyesület,18614189-2-11,magyarock@vivamail.hu,"2900 Komárom, Mártírok út 8/A. 3/1.",Közhasznú,igen
Tűzvédelemért Közalapítvány,18610068-1-11,komhot@vivamail.hu,"2900 Komárom, Szabadság tér 1.",Közhasznú,igen
Magyar Ayurveda Gyógyászati Alapítvány Közhasznú Szervezet,18084269-1-41,ayurveda@garuda.hu,"1136 Budapest, Tátra utca 24.",Közhasznú,igen
VOLÁN Szolidaritás Alapítvány,19149653-1-11,vsza@vertesvolan.hu,"2800 Tatabánya I., Csaba u. 19.",Közhasznú,igen
Oroszlányi Utánpótlás Futball Club,18611007-1-11,oufc@okis.hu,"2840 Oroszlány, Majki út 32.",Közhasznú,igen
Peron Music Alapítvány,18600698-1-11,info@peronmusic.hu,"2800 Tatabánya, Szent Borbála tér",Közhasznú,igen
Nővér Alapítvány,18343885-1-03,csozik@bajakorhaz.hu,"6500 Baja, Rókus u. 10.",Közhasznú,igen
Tatai Eötvös József Tehetséggondozó Alapítvány,19148164-1-11,adam.arpad@mutf.hu,"2890 Tata, Tanoda tér 5.",Közhasznú,igen
Életfa Környezetvédő Szövetség,19142443-1-10,eletfa@eck.hu,"3300 Eger, Bajcsy Zs. u. 9.",Közhasznú,igen
Vitakultúra Egyesület,18159202-1-42,vitakultura@vitakultura.hu,"1063 Budapest, Munkácsy Mihály utca 27. I. 4.",Közhasznú,igen
Pécsi Zöld Közérdekű Egyesület,19030036-1-02,viking@pecs.zpok.hu,"7622 Pécs, Bajcsy Zs. E. utca 2.",Közhasznú,igen
