name,tax_number,email,address,legal_status,public_benefit_status,cegjelzo_status,cegjelzo_status_code,cegjelzo_registration_number,cegjelzo_official_name,cegjelzo_short_name,cegjelzo_tax_number
Taktaharkányi Polgárőr Szervezet,18422278-1-05,akos.szeman@gmail.com,"3922 Taktaharkány, Deák u. 18.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0001924,Taktaharkányi Polgárőr Szervezet,,18422278-1-05
Barakonyi Patakvölgy Egyesület,18032695-1-05,jenedit@gmail.com,"3765 Tornabarakony, Dózsa György út 14.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0064809,Barakonyi Patakvölgy Egyesület,,18032695-1-05
Nyilas Misi Alapítvány,18430794-1-05,nagy.karolyne69@gmail.com,"3525 Miskolc, Kossuth u.17.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0001548,Nyilas Misi Alapítvány,,18430794-1-05
Magyarok a Magyarokért Közhasznú Egyesület,18278079-1-05,jozsi20@freemail.hu,"3780 Balajt, Fő út 42.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0065043,Magyarok a Magyarokért Közhasznú Egyesület,,18278079-1-05
Polyán Egyesület,19335939-1-05,polyan.egyesulet@gmail.com,"3989 Mikóháza, Petőfi Sándor utca 32/a.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0064618,Polyán Egyesület,,19335939-1-05
Vissza az Életbe Egyesület,19331083-1-05,visszaazeletbe@gmail.com,"3721 Jákfalva, Széchenyi út 10. A",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0064285,"""Vissza az életbe"" Egyesület",,19331083-1-05
Baráti Kör Tornabarakonyért Alapítvány,19334079-1-05,mariakom@invitel.hu,"3765 Tornabarakony, Dózsa utca 22.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0064058,Baráti Kör Tornabarakonyért Alapítvány,,19334079-1-05
Kék Ház Tanácsadó Szociális Alapítvány,18428229-1-05,kekhazalapitvany@gmail.com,"3534 Miskolc, Lankás út 6.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0001403,"""KÉK HÁZ Tanácsadó Szociális Alapítvány""",,18428229-1-05
"""Egészséges környezetben egészséges gyermekeinkért""Alapítvány",18427297-1-05,leszihovi@gmail.com,"3524 Miskolc, Leszih A. utca 6.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0001349,"""Egészséges környezetben egészséges gyermekeinkért"" Alapítvány",,18427297-1-05
Sárospataki Rákóczi Diáksport Egyesület,18438352-1-05,rakocziiskola@sarospatak.hu,"3950 Sárospatak, Petőfi u.1.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0003174,Sárospataki Rákóczi Diáksport Egyesület,,18438352-1-05
Mások-Másképpen Alapítvány,18447233-1-05,jaagota@gmail.com,"3525 Miskolc, Sólyom utca 11",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0063823,"""Mások- Másképpen"" Alapítvány",,18447233-1-05
Egy Esélyt Felelősen Vállalva Alapítvány,18752128-1-05,eefv@eefv.hu,"3780 Edelény, István kir. útja 41.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0064435,Egy Esélyt Felelősen Vállalva Alapítvány,EEFv,18752128-1-05
Észak-Keleti Átjáró Kulturális és Tudományos Közhasznú Egyesület,19331571-1-05,atjarok@gmail.com,"3529 Miskolc, Testvérvárosok útja 8 IX 1",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0064330,Észak-Keleti Átjáró Kulturális és Tudományos Közhasznú Egyesület,Észak Keleti Átjáró Közhasznú Egyesület,19331571-1-05
Magyargencsi Sportegyesület,18935529-1-19,motamas@globonet.hu,"8517 Magyargencs, Petőfi u. 127.",Közhasznú,igen,Nyilvántartásba vett,1,19-02-0002368,Magyargencsi Sportegyesület,Magyargencs SE,18935529-1-19
A sérült test és értelem harmóniájáért Alapítvány,18446902-1-05,frigyka@freemail.hu,"3533 Miskolc, Mester utca 20/B.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0063797,A sérült test és értelem harmóniájáért Alapítvány,,18446902-1-05
Gárdonyi Géza Oktatási Alapítvány,18413218-1-05,gardalap@freemail.hu,"3508 Miskolc, Szeretet u.5.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0000642,Gárdonyi Géza Oktatási Alapítvány,,18413218-1-05
Halmozottan Sérültek Borsod-Abaúj-Zemplén Megyei Szülőszövetsége,18447305-1-05,borsodhalm2012@gmail.com,"3600 Ózd, Bocskai I. utca 4.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0063884,Halmozottan Sérültek Borsod-Abaúj-Zemplén Megyei Szülőszövetsége,,18447305-1-05
ÓZDI NYITOTT KAPU,18445437-1-05,fionacska@gmail.com,"3600 Ózd, 48-as út 26.sz.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0002097,Ózdi Nyitott Kapu Alapítvány,,18445437-1-05
Szendrői Várbarátok Egyesülete,19330240-1-05,szendroivar@gmail.com,"3752 Szendrő, Ady Endre utca 29",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0064258,Szendrői Várbarátok Egyesülete,,19330240-1-05
Bárka Színpad és Műhely Kulturális Egyesület,18429622-1-05,barka.szinpad1997@gmail.com,"3600 Ózd, Újtelep 25.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0002403,Bárka Színpad és Műhely Kulturális Egyesület,Bárka Színpad,18429622-1-05
SZÁDVÁRÉRT BARÁTI KÖR,19332338-1-05,kapcsolat@szadvar.hu,"3762 Szögliget, Szabadság tér 26.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0064359,SZÁDVÁRÉRT BARÁTI KÖR,,19332338-1-05
"Kosztyu Ádám Emlékére a Leukémiás,Daganatos és Zemplén Fogyatékos Gyermekeiért Alapítvány",18418299-1-05,kosztyuadam@gmail.com,"3980 Sátoraljaújhely, Árpád u. 1.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0000861,"""Kosztyu Ádám Emlékére a Leukémiás, Daganatos és Zemplén Fogyatékos Gyermekeiért"" Alapítvány",KELL Alapítvány,18418299-1-05
4. Dimenzió Közhasznú alapítvány,18444467-1-05,mariann.brillant@gmail.com,"3530 Miskolc, Avasalja utca 6.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0002056,4. Dimenzió Közhasznú Alapítvány,,18444467-1-05
Vakok és Gyengénlátók Borsod-Abaúj-Zemplén Megyei Egyesülete,18446373-1-05,info@borsodivakok.hu,"3525 Miskolc, Jókai utca 18.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0063810,Vakok és Gyengénlátók Borsod-Abaúj-Zemplén Megyei Egyesülete,,18446373-1-05
Kazincbarcika város és környéke Művészetéért Egyesület,18447965-1-05,bzen@freemail.hu,"3700 Kazincbarcika, Lini István tér 3.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0063912,Kazincbarcika város és környéke Művészetéért Egyesület,,18447965-1-05
Arnóti Öregfiúk Sportegyesület,18440951-1-05,arnotiskola@borsodweb.hu,"3713 Arnót, Lévay u. 1.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0003286,Arnóti Öregfiúk Sportegyesület,,18440951-1-05
Új Remény Alapítvány,18428566-2-05,ujremeny@ujremeny.org,"3950 Sárospatak, Arany János út 30",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0001383,Új Remény Alapítvány,,18428566-2-05
Magyarország Felfedezői Szövetség,19624772-1-05,magyarorszag.felfedezoi@gmail.com,"3950 Sárospatak, Mátyás k. utca 23.",Közhasznú,igen,Nyilvántartásba vett,1,01-02-0000852,Magyarország Felfedezői Szövetség,,19624772-1-05
"Rudolftelep Általános Iskola és Óvoda ""Napfény"" Oktatási-Nevelési Alapítvány",18419135-1-05,smikoviny@freemail.hu,"3742 Rudolftelep, József A. út 43.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0000846,"Rudolftelep Általános Iskola és Óvoda ""Napfény"" Oktatási-Nevelési Alapítvány",,18419135-1-05
Miskolci Kórusfesztivál Alapítvány,19077369-1-05,zensandz@uni-miskolc.hu,"3519 Miskolc, Ungvári u.18.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0000049,"""Miskolci Kórusfesztivál"" Alapítvány",,19077369-1-05
Alapítvány a Weöres Sándor Általános Iskola Diákjaiért,18415856-1-05,arnotiskola@borsodweb.hu,"3712 Arnót, Alkotmány u.1.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0000765,""" Alapítvány a Weöres Sándor Általános Iskola Diákjaiért """,,18415856-1-05
Humán Integra Társadalmi Beilleszkedést Segítő Regionális Alapítvány,18440023-1-05,info@humanintegra.hu,"3525 Miskolc, Széchenyi utca 19. 1 7.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0001834,Humán Integra Társadalmi Beilleszkedést Segítő Regionális Alapítvány,,18440023-1-05
Miskolci Nagycsaládosok Egyesülete,18400230-1-05,noemiskolc@gmail.com,"3525 Miskolc, Pallos utca 16",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0001034,Miskolci Nagycsaládosok Egyesülete,,18400230-1-05
Miskolci Egyetem Oktatásának Fejlesztéséért Alapítvány,18422096-1-05,alapitva@uni-miskolc.hu,"3515 Miskolc-Egyetemváros, Miskolci Egyetem",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0001076,"""Miskolci Egyetem Oktatásának Fejlesztéséért"" Alapítvány",,18422096-1-05
"""Vérünk Egészségéért"" Alapítvány",19077857-2-05,gradvany.2bel@semmelweis-miskolc.hu,"3530 Miskolc, Csabai kapu 9.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0000073,"""Vérünk Egészségéért"" Alapítvány",,19077857-2-05
Ökológiai Intézet a Fenntartható Fejlődésért Alapítvány,18410057-1-05,fnzs@ecolinst.hu,"3525 Miskolc, Kossuth u. 13.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0000440,Ökológiai Intézet a Fenntartható Fejlődésért Alapítvány,,18410057-1-05
Miskolci Egyetem Gépészmérnöki Karán folyó mérnökképzésért,18425453-1-05,gkdh3@gold.uni-miskolc.hu,"3515 Miskolc-Egyetemváros, I.emelet a/4. ép.131.szoba",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0001256,"""Miskolci Egyetem Gépészmérnöki Karán folyó mérnökképzésért"" Alapítvány",,18425453-1-05
Mozgáskorlátozottak Ózd Városi Egyesülete,19649294-1-05,move.ozd@freemail.hu,"3600 Ózd, Árpád vezér út 29",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0000385,Mozgáskorlátozottak Ózd Városi Egyesülete,,19649294-1-05
Mozgássérültek Mezőkövesdi Egyesülete,18417803-1-05,buktal@freemail.hu,"3400 Mezőkövesd, Abkarovits Jenő tér 1.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0001900,Mozgássérültek Mezőkövesdi Egyesülete,,18417803-1-05
Miskolci Speciális Felderítő és Mentőcsoport Közalapítvány,18431276-1-05,mancsi112@gmail.com,"3525 Miskolc, Városház tér 8.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0001433,"Miskolci Speciális Felderítő és Mentőcsoportért Közalapítvány ""törlés alatt""",,18431276-1-05
Litkey György Alapítvány,19262132-2-19,litkeyeva@gmail.com,"8220 Balatonalmádi, Veszprémi út 111.",Közhasznú,igen,Nyilvántartásba vett,1,19-01-0000144,Litkey György Alapítvány,,19262132-2-19
FILADELFIA Alapítvány,18792021-1-15,gy-m@freemail.hu,"4461 Nyírtelek, Tokaji utca 52.",Közhasznú,igen,Nyilvántartásba vett,1,15-01-0000328,FILADELFIA Alapítvány,,18792021-1-15
Esélyegyenlőséget a falusi kisdiáknak Alapítvány,18416840-1-05,info@falusikisdiak.hu,"3731 Szuhakálló, Bajcsy Zs. út 47.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0000803,Esélyegyenlőséget a falusi kisdiáknak Alapítvány,,18416840-1-05
Symphonia Alapítvány,18288449-2-43,kozkapcsolat@samisuli.hu,"3525 Miskolc, Kazinczy utca 1. 1 1.",Közhasznú,igen,Nyilvántartásba vett,1,01-01-0011576,Symphonia Alapítvány,,18288449-2-05
Mezőcsát Kultúrájáért Alapítvány,18435713-1-05,info@csatikultura.hu,"3450 Mezőcsát, Mátyás utca 20.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0001643,"""Mezőcsát Kultúrájáért"" Alapítvány",,18435713-1-05
Kerékpáros Miskolc Egyesület,18274219-1-05,elnok@kerekparosmiskolc.net,"3526 Miskolc, Kassai utca 24.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0065039,Kerékpáros Miskolc Egyesület,KME,18274219-1-05
Miskolci Makogó-Együtt a Vadászgörényekért Közhasznú Egyesület,18027969-1-05,egyesulet@miskolcimakogo.hu,"3529 Miskolc, Szilvás út 11. 3/ 2.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0064792,Miskolci Makogó-Együtt a Vadászgörényekért Közhasznú Egyesület,,18027969-1-05
Miskolci Amerikai Futball és Szabadidő Sport Egyesület,18449668-2-05,info@miskolcsteelers.hu,"3535 Miskolc, Szépvölgy utca 4.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0064201,Miskolci Amerikai Futball és Szabadidő Sport Egyesület,,18449668-1-05
Zöld Kapcsolat Egyesület,18448461-1-05,info@zoldkapcsolat.hu,"3525 Miskolc, Kossuth utca 13. I",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0064020,Zöld Kapcsolat Egyesület,,18448461-1-05
Hegyhengergető Alapítvány,18715424-2-13,alapitvany@hegyhengergeto.hu,"2161 Csomád, Kossuth Lajos út 79.",Közhasznú,igen,Nyilvántartásba vett,1,13-01-0002902,Hegyhengergető Alapítvány,,18715424-2-13
Szikra Alapítvány Az Önkéntesek Munkájának Támogatására,18444917-1-05,civilhaz@szikraalapitvany.hu,"3530 Miskolc, Reményi Ede utca 9.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0002091,Szikra Alapítvány Az Önkéntesek Munkájának Támogatására,Szikra Alapítvány,18444917-1-05
Észak-magyarországi Kompetencia Egyesület,18449390-1-05,soosroland@yahoo.com,"3529 Miskolc, Középszer utca 54. 8 1.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0064102,Észak-magyarországi Kompetencia Egyesület,,18449390-1-05
Szimbiózis a Harmónikus Együtt-létért Alapítvány,18432930-1-05,ugyvezeto@szimbiozis.net,"3527 Miskolc, Augusztus 20 út 12",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0001619,"""Szimbiózis"" A Harmónikus Együtt-Létért Alapítvány",SZIMBIÓZIS ALAPÍTVÁNY,18432930-1-05
Marcel Loubens Barlangkutató Egyesület,19070575-1-05,mlbe@mlbe.hu,"3525 Miskolc, Kossuth Lajos utca 13.",Közhasznú,igen,Nyilvántartásba vett,1,05-02-0000075,Marcel Loubens Barlangkutató Egyesület,,19070575-1-05
Kovács Csongor Alapítvány a Gyengénlátó Gyermekekért,18012752-1-42,igazgatosag@gyengenlatok.hu,"1147 Budapest, Miskolci út 77.",Közhasznú,igen,Nyilvántartásba vett,1,01-01-0003576,Kovács Csongor Alapítvány a Gyengénlátó Gyermekekért,,18012752-1-42
"A ""Mezőcsáti Református Templomért"" Alapítvány",18416541-1-05,alapitvany@fenysugar.com,"3450 Mezőcsát, Hősök tere 8.",Közhasznú,igen,Nyilvántartásba vett,1,05-01-0000844,"""A mezőcsáti református templomért"" Alapítvány",,18416541-1-05
